page_number;article;product_name;brand_name;request_name
15;76104086;Велосипедки;ТД Елена;велосипедки
1;76104087;Велосипедки;ТД Елена;СпортивныеВелосипедки
1;76104086;Велосипедки;ТД Елена;СпортивныеВелосипедки
1;76050649;Велосипедки;ТД Елена;СпортивныеВелосипедки
5;113162703;Велосипедки;ТД Елена;СпортивныеВелосипедки
5;113167208;Велосипедки;ТД Елена;СпортивныеВелосипедки
6;76050648;Велосипедки;ТД Елена;СпортивныеВелосипедки
2;76050649;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
4;113162703;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
24;113167208;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
24;76104087;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
30;76104086;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
30;76050648;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
12;76104086;Велосипедки;ТД Елена;ВелосипедкиЖенские
60;76050649;Велосипедки;ТД Елена;ВелосипедкиЖенские
60;76104087;Велосипедки;ТД Елена;ВелосипедкиЖенские
60;113167208;Велосипедки;ТД Елена;ВелосипедкиЖенские
60;76050648;Велосипедки;ТД Елена;ВелосипедкиЖенские
6;76693000;Топ спортивный;ТД Елена;ТопСпортивный
9;76721026;Топ спортивный;ТД Елена;ТопСпортивный
10;76721025;Топ спортивный;ТД Елена;ТопСпортивный
11;76648797;Топ спортивный;ТД Елена;ТопСпортивный
12;76693001;Топ спортивный;ТД Елена;ТопСпортивный
12;76648798;Топ спортивный;ТД Елена;ТопСпортивный
13;113164976;Топ спортивный;ТД Елена;ТопСпортивный
33;113163007;Топ спортивный;ТД Елена;ТопСпортивный
33;113164052;Топ спортивный;ТД Елена;ТопСпортивный
1;75404609;Топ;ТД Елена;ТопЖенскийИзХлопка
4;75404609;Топ;ТД Елена;ТопЖенскийБелыйИзХлопка
60;75369834;Топ;ТД Елена;ТопЖенскийБелыйИзХлопка
8;74734631;Брюки;ТД Елена;БрюкиЖенскиеБежевые
3;74506300;Футболка;ТД Елена;УкороченнаяЖенскаяФутболкаИзХлопка
1;40405169;Толстовка;ТД Елена;ХудиЖенскоеОверсайзСиреневое
1;42956434;Толстовка;ТД Елена;ТолстовкаЖенскаяСКапюшономРозовая
