page_number;article;product_name;brand_name;request_name
60;76104087;Велосипедки;ТД Елена;велосипедки
2;76104086;Велосипедки;ТД Елена;СпортивныеВелосипедки
2;76104087;Велосипедки;ТД Елена;СпортивныеВелосипедки
17;76050649;Велосипедки;ТД Елена;СпортивныеВелосипедки
40;76050648;Велосипедки;ТД Елена;СпортивныеВелосипедки
8;76050649;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
12;76104086;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
28;76104087;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
33;76050648;Велосипедки;ТД Елена;ВелосипедкиЖенскиеЧерные
53;76104087;Велосипедки;ТД Елена;ВелосипедкиЖенские
58;76104086;Велосипедки;ТД Елена;ВелосипедкиЖенские
58;76050648;Велосипедки;ТД Елена;ВелосипедкиЖенские
58;76050649;Велосипедки;ТД Елена;ВелосипедкиЖенские
8;76648797;Топ спортивный;ТД Елена;ТопСпортивный
8;76721026;Топ спортивный;ТД Елена;ТопСпортивный
9;76693000;Топ спортивный;ТД Елена;ТопСпортивный
9;76693001;Топ спортивный;ТД Елена;ТопСпортивный
12;76721025;Топ спортивный;ТД Елена;ТопСпортивный
20;75404609;Топ;ТД Елена;ТопЖенскийБелыйИзХлопка
7;74506300;Футболка;ТД Елена;УкороченнаяЖенскаяФутболкаИзХлопка
2;40405169;Толстовка;ТД Елена;ХудиЖенскоеОверсайзСиреневое
1;42956434;Толстовка;ТД Елена;ТолстовкаЖенскаяСКапюшономРозовая
