page_number;article;product_name;brand_name;request_name
7;76104087;Велосипедки;ТД Елена;велосипедки
58;76050649;Велосипедки;ТД Елена;велосипедки
1;76104086;Велосипедки;ТД Елена;СпортивныеВелосипедки
1;76104087;Велосипедки;ТД Елена;СпортивныеВелосипедки
3;76050649;Велосипедки;ТД Елена;СпортивныеВелосипедки
28;76050648;Велосипедки;ТД Елена;СпортивныеВелосипедки
8;76648797;Топ спортивный;ТД Елена;ТопСпортивный
9;76693001;Топ спортивный;ТД Елена;ТопСпортивный
11;76721026;Топ спортивный;ТД Елена;ТопСпортивный
11;76648798;Топ спортивный;ТД Елена;ТопСпортивный
11;76721025;Топ спортивный;ТД Елена;ТопСпортивный
11;76693000;Топ спортивный;ТД Елена;ТопСпортивный
29;75404609;Топ;ТД Елена;ТопЖенскийБелыйИзХлопка
59;75369834;Топ;ТД Елена;ТопЖенскийБелыйИзХлопка
31;74734631;Брюки;ТД Елена;БрюкиЖенскиеБежевые
21;74506300;Футболка;ТД Елена;УкороченнаяЖенскаяФутболкаИзХлопка
4;9794232;Пижама;ТД Елена;ПижамаЖенскаяСШортамиГолубая
10;35176788;Пижама;ТД Елена;ПижамаЖенскаяСШортамиГолубая
2;40405169;Толстовка;ТД Елена;ХудиЖенскоеОверсайзСиреневое
1;42956434;Толстовка;ТД Елена;ТолстовкаЖенскаяСКапюшономРозовая
